UF;Nome;CO_UNID_GEO;Taxa_desemp
AC;Acre;1;5,8
AL;Alagoas;2;8,4
AM;Amazonas;1;12,2
AP;Amapá;1;16,3
BA;Bahia;2;10,4
CE;Ceará;2;7,9
DF;Distrito Federal;5;11,9
ES;Espírito Santo;3;10,8
GO;Goiás;5;8,2
MA;Maranhão;2;8,3
MG;Minas Gerais;3;8,2
MS;Mato Grosso do Sul;5;6,5
MT;Mato Grosso;5;8,4
PA;Pará;1;8,7
PB;Paraíba;2;8,5
PE;Pernambuco;2;13,1
PI;Piauí;2;4,6
PR;Paraná;4;6,2
RJ;Rio de Janeiro;3;10,3
RN;Rio Grande do Norte;2;10
RO;Rondônia;1;8,4
RR;Roraima;1;12,1
RS;Rio Grande do Sul;4;7,4
SC;Santa Catarina;4;5,2
SE;Sergipe;2;9,8
SP;São Paulo;3;9,5
TO;Tocantins;1;6,8
